"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","ccp_alpha","criterion","init","learning_rate","loss","max_depth","max_features","max_leaf_nodes","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","n_estimators","n_iter_no_change","optimization","random_state","subsample","tol","validation_fraction","verbose","warm_start","accuracy","f1","fit_time","recall"
"2026-05-07 13:36:52","16.8min","4ab1c1c440e84bfe95a2ee8db7af2a00","GBC_Optuna","NOTEBOOK","GradBoost.ipynb","Tiago Silva","FINISHED","","","","0.198328173183006","","7","","","","","","","130","","optuna","","0.8766413522710883","","","","","0.91645","0.9258815701929475","931.3566565513611","0.86975"
"2026-05-07 12:21:49","1.3h","e11c3ad974294d2d80306869146f2290","GBC_GridSearch","NOTEBOOK","GradBoost.ipynb","Tiago Silva","FINISHED","","","","0.3","","10","","","","","","","50","","GridSearchCV","","0.7","","","","","0.9044","0.9164700742682395","4503.125640153885","0.8740833333333333"
"2026-05-07 12:21:20","28.5s","9405a5612870424a8a85803aa5948edb","GBC_Baseline_Defaults","NOTEBOOK","GradBoost.ipynb","Tiago Silva","FINISHED","0.0","friedman_mse","None","0.1","log_loss","3","None","None","0.0","1","2","0.0","100","None","none_default","42","1.0","0.0001","0.1","0","False","0.91985","0.9284343051029064","28.389564752578735","0.8665"
