"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","alpha","class_weight","early_stopping","eta0","fit_intercept","l1_ratio","max_iter","n_iter_no_change","n_jobs","optimization","penalty","random_state","shuffle","tol","validation_fraction","verbose","warm_start","accuracy_test","accuracy_train","f1_test","f1_train","fit_time","recall_test","recall_train"
"2026-05-20 20:37:12","7.7s","8daaabf789594b348301a6cd437ec926","Perceptron_Optuna","NOTEBOOK","Perceptron.ipynb","Tiago Silva","FINISHED","0.08341000044502855","","","1.1851101389350585e-05","","","1503","","","optuna","l1","","","","","","","0.6809","0.6788625","0.784668331196437","0.7837658129297792","7.337554931640625","0.969","0.9700404183507646"
"2026-05-20 20:36:55","17.1s","107e447e9f484d0eab65a77c6d8cb900","Perceptron_GridSearch","NOTEBOOK","Perceptron.ipynb","Tiago Silva","FINISHED","0.01","","","0.0001","","","","","","GridSearchCV","l1","","","","","","","0.8937","0.89635","0.9028069854621925","0.905454711301651","16.93800449371338","0.8228333333333333","0.8272428017834076"
"2026-05-20 20:36:54","294ms","d5185bc3acca4280b525c9e712d568c8","Perceptron_Baseline_Defaults","NOTEBOOK","Perceptron.ipynb","Tiago Silva","FINISHED","0.0001","None","False","1.0","True","0.15","1000","5","None","none_default","None","42","True","0.001","0.1","0","False","0.8202","0.8211625","0.8429694323144105","0.8439446329039365","0.14072084426879883","0.8043333333333333","0.8059919163298471"
