"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","ccp_alpha","class_weight","criterion","max_depth","max_features","max_leaf_nodes","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","monotonic_cst","optimization","random_state","splitter","accuracy_test","accuracy_train","f1_test","f1_train","fit_time","recall_test","recall_train"
"2026-05-22 21:40:51","34.8s","5b370512183f4a63be581c1fc4ea513c","DT_Optuna_Regularized","NOTEBOOK","DT.ipynb","Tiago Silva","FINISHED","3.05706670371922e-05","","gini","15","","","","9","43","","","optuna","","","0.9112","0.9246125","0.9217483256961579","0.9335478255120817","33.670624017715454","0.8716666666666667","0.8825992749697904"
"2026-05-22 21:39:25","1.4min","de8f35c3d8b94f8ca94667fab840a9eb","DT_GridSearch_Pruning","NOTEBOOK","DT.ipynb","Tiago Silva","FINISHED","0.0","","gini","15","","","","5","10","","","GridSearchCV","","","0.9098","0.9309375","0.9207799051466713","0.939378312248324","85.83072113990784","0.8736666666666667","0.8918496604025168"
"2026-05-22 21:39:24","0.8s","d1e100f99e834ba797c646e794fd2ea9","DT_Regularized_Baseline","NOTEBOOK","DT.ipynb","Tiago Silva","FINISHED","0.0","None","gini","10","None","None","0.0","5","10","0.0","None","none_default","42","best","0.9174","0.9229875","0.9265516628134448","0.9315406411467304","0.6856169700622559","0.8683333333333333","0.8733072211342139"
