"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","estimator","learning_rate","loss","n_estimators","optimization","random_state","fit_time","mae_test","mae_train","r2_test","r2_train","rmse_test","rmse_train"
"2026-05-22 15:27:39","9.6min","e990ecb4ac73440a938e941c85c21568","AdaBoost_Reg_Optuna","NOTEBOOK","AdaBoostRegressor.ipynb","Tiago Silva","FINISHED","","1.3282165134621702","square","177","optuna","","528.3796017169952","1.3146623227588912","1.3070822257562775","0.9655877421134552","0.9658937414632988","1.6852156088532764","1.672376795551234"
"2026-05-22 15:18:23","9.3min","4ff695bdffe74a9193b8211085827941","AdaBoost_Reg_GridSearch","NOTEBOOK","AdaBoostRegressor.ipynb","Tiago Silva","FINISHED","","1.0","square","200","GridSearchCV","","552.5179460048676","1.3964605643339925","1.3978759630686695","0.9620340904232841","0.9619883118825049","1.770091811815562","1.7655323181077816"
"2026-05-22 15:18:04","19.0s","a79d92719a794ba88fe8516c32415f3f","AdaBoost_Reg_Baseline","NOTEBOOK","AdaBoostRegressor.ipynb","Tiago Silva","FINISHED","None","1.0","linear","50","none_default","42","18.21420955657959","1.9273617628249369","1.9110493534942925","0.9297624993061506","0.9303385246922632","2.4075948921676487","2.390085444265055"
