"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","alpha","ccp_alpha","criterion","init","learning_rate","loss","max_depth","max_features","max_leaf_nodes","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","n_estimators","n_iter_no_change","optimization","random_state","subsample","tol","validation_fraction","verbose","warm_start","fit_time","mae_test","mae_train","r2_test","r2_train","rmse_test","rmse_train"
"2026-05-22 16:31:53","13.3min","57306c60d03b4b148690e076e2c39aa3","GBR_Optuna","NOTEBOOK","GradientBoostingRegressor.ipynb","Tiago Silva","FINISHED","","","","","0.05490747097522296","","6","","","","","","","220","","optuna","","0.7038013432002436","","","","","698.9953424930573","0.22869270844265044","0.19643342708897113","0.9989443579987717","0.9992425087552711","0.29515980805345005","0.24923320475253044"
"2026-05-22 16:27:09","4.7min","c14f4a7eb4ae4f84b9f40b7f21227ade","GBR_GridSearch","NOTEBOOK","GradientBoostingRegressor.ipynb","Tiago Silva","FINISHED","","","","","0.1","","5","","","","","","","200","","GridSearchCV","","","","","","","283.6258418560028","0.2519227513621445","0.2287873199418042","0.9987435431818721","0.9989749630491003","0.32201245672513884","0.28992579302671445"
"2026-05-22 16:26:38","30.7s","7776b2ff9b954317898190c34b6e283c","GBR_Baseline","NOTEBOOK","GradientBoostingRegressor.ipynb","Tiago Silva","FINISHED","0.9","0.0","friedman_mse","None","0.1","squared_error","3","None","None","0.0","1","2","0.0","100","None","none_default","42","1.0","0.0001","0.1","0","False","30.38485312461853","0.45093048332302177","0.4363386716757006","0.9958402808447251","0.9961004266958229","0.585909977398551","0.5654909219588629"
