"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","bootstrap","ccp_alpha","class_weight","criterion","max_depth","max_features","max_leaf_nodes","max_samples","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","monotonic_cst","n_estimators","n_jobs","oob_score","optimization","random_state","verbose","warm_start","accuracy_test","accuracy_train","f1_test","f1_train","fit_time","recall_test","recall_train"
"2026-05-22 21:56:05","2.0min","23d98c139e914735823c002b4b3de022","RFC_Optuna","NOTEBOOK","RF.ipynb","Tiago Silva","FINISHED","","","","","10","log2","","0.6162375481538754","","11","24","","","107","","","optuna","","","","0.91675","0.92065","0.926036160099507","0.9295073957269133","117.12123394012451","0.8685833333333334","0.8719529980415851"
"2026-05-22 21:52:30","3.6min","4b943c494294472d9f2482c0a1ec44e0","RFC_GridSearch","NOTEBOOK","RF.ipynb","Tiago Silva","FINISHED","","","","","10","sqrt","","","","10","","","","150","","","GridSearchCV","","","","0.91945","0.921825","0.9281156574896257","0.9303128899982172","214.6609935760498","0.8666666666666667","0.8697237384891037"
"2026-05-22 21:52:28","2.3s","5a925e1c411c42ce99faf638d7aec772","RFC_Baseline_Architectural","NOTEBOOK","RF.ipynb","Tiago Silva","FINISHED","True","0.0","None","gini","10","sqrt","None","None","0.0","5","10","0.0","None","100","'-1","False","none_architectural_transfer","42","0","False","0.91975","0.9219","0.9283642044186565","0.9303859524021749","2.00675892829895","0.8666666666666667","0.8698695778990791"
