"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","activation","alpha","batch_size","beta_1","beta_2","early_stopping","epsilon","hidden_layer_sizes","learning_rate","learning_rate_init","loss","max_fun","max_iter","momentum","n_iter_no_change","n_layers","n_units_l0","n_units_l1","n_units_l2","nesterovs_momentum","optimization","power_t","random_state","shuffle","solver","tol","validation_fraction","verbose","warm_start","fit_time","mae_test","mae_train","r2_test","r2_train","rmse_test","rmse_train"
"2026-05-22 22:33:19","47.3s","a8e86b9d07594a5f9991b1f1ad0eadba","MLP_Reg_Optuna","NOTEBOOK","MultiLayerRegressor.ipynb","Tiago Silva","FINISHED","","0.0015532904839138573","","","","","","","","0.04165692624806529","","","","","","3","20","89","84","","optuna","","","","","","","","","43.493590354919434","0.07428900696595835","0.07377201132244901","0.9998410815007235","0.9998347392375541","0.11418372701102922","0.11653178740804326"
"2026-05-22 22:32:23","56.0s","46b178d359fe4d589f0f8f7fa5009981","MLP_Reg_GridSearch","NOTEBOOK","MultiLayerRegressor.ipynb","Tiago Silva","FINISHED","","0.0001","","","","","","(50,)","","0.01","","","","","","","","","","","GridSearchCV","","","","","","","","","55.87209367752075","0.08911529922722065","0.08631840107113287","0.9998202166303061","0.999839361039865","0.12144838526936796","0.11489072603606855"
"2026-05-22 22:32:17","6.4s","5fb6532cd51c40b1823facac4994e269","MLP_Reg_Baseline","NOTEBOOK","MultiLayerRegressor.ipynb","Tiago Silva","FINISHED","relu","0.0001","auto","0.9","0.999","True","1e-08","(100,)","constant","0.001","squared_error","15000","500","0.9","10","","","","","True","none_default","0.5","42","True","adam","0.0001","0.1","False","False","6.244302988052368","0.11390818993689358","0.10658391637000932","0.9996777862266538","0.9997360541265435","0.16258820533161342","0.14727090992071584"
