"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","C","class_weight","dual","fit_intercept","intercept_scaling","l1_ratio","max_iter","multi_class","n_jobs","optimization","penalty","random_state","scaler","solver","tol","verbose","warm_start","accuracy_test","accuracy_train","f1_test","f1_train","fit_time","recall_test","recall_train"
"2026-05-20 21:12:26","45.4s","5d02a62b7ff149bb94c68b51fd269448","LogReg_Normalization_Optuna","NOTEBOOK","LogReg.ipynb","Tiago Silva","FINISHED","0.0021351067557515042","","","","","","","","","optuna","l2","","Normalization","saga","","","","0.8269","0.825425","0.8626190476190476","0.8617720416485213","44.31330919265747","0.90575","0.90701695903996"
"2026-05-20 21:11:59","27.2s","734ce3527e194b2cabf21f37062e6e08","LogReg_Normalization_GridSearch","NOTEBOOK","LogReg.ipynb","Tiago Silva","FINISHED","0.1","","","","","","1000","","","GridSearchCV","l2","","Normalization","lbfgs","","","","0.85605","0.857825","0.8818387030576647","0.8832334099868594","26.986698389053345","0.89525","0.8962248427017793"
"2026-05-20 21:11:59","0.7s","f09e750991f047dba5baafe740b1ccd5","LogReg_Normalization_Baseline","NOTEBOOK","LogReg.ipynb","Tiago Silva","FINISHED","1.0","None","False","True","1","None","100","deprecated","None","none_default","l2","42","Normalization","lbfgs","0.0001","0","False","0.85955","0.8592875","0.8843033073849829","0.8841407560646761","0.5444467067718506","0.8945833333333333","0.8948706196091504"
"2026-05-20 21:11:32","26.6s","39abb4a9aa3e4622911e62ed46b2a12f","LogReg_Standardization_Optuna","NOTEBOOK","LogReg.ipynb","Tiago Silva","FINISHED","0.0010852047253749673","","","","","","","","","optuna","l1","","Standardization","saga","","","","0.85745","0.8552875","0.8828821427104301","0.8812262108729776","25.317898511886597","0.8955","0.894766448602025"
"2026-05-20 21:11:14","18.3s","170c92cd1f004f058ac51c3424bda405","LogReg_Standardization_GridSearch","NOTEBOOK","LogReg.ipynb","Tiago Silva","FINISHED","0.1","","","","","","2000","","","GridSearchCV","l2","","Standardization","saga","","","","0.8606","0.859325","0.8851162024064612","0.8841060284637406","18.16377544403076","0.895","0.8943289303720988"
"2026-05-20 21:11:13","489ms","2cb6dce26a0c4c2db17cac4a902d7050","LogReg_Standardization_Baseline","NOTEBOOK","LogReg.ipynb","Tiago Silva","FINISHED","1.0","None","False","True","1","None","100","deprecated","None","none_default","l2","42","Standardization","lbfgs","0.0001","0","False","0.8604","0.8593125","0.8849703361898484","0.8840921495731336","0.3203928470611572","0.895","0.8942872619692487"
