"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","fit_intercept","model_type","scaler","fit_time","mae_test","mae_train","r2_test","r2_train","rmse_test","rmse_train"
"2026-05-20 13:14:35","386ms","41ed29e9d5e24aae82c828aec80a25b6","OLS_LinearReg_Normalization","NOTEBOOK","LinearRegression.ipynb","Tiago Silva","FINISHED","True","OLS_LinearRegression","Normalization","0.1976025104522705","0.40385962413498394","0.3966587602104757","0.9938694652514578","0.9941323157792861","0.7112922352327465","0.6936660826832138"
"2026-05-20 13:14:34","424ms","677839be6c3a46a68a5317d132a038d8","OLS_LinearReg_Standardization","NOTEBOOK","LinearRegression.ipynb","Tiago Silva","FINISHED","True","OLS_LinearRegression","Standardization","0.20647764205932617","0.40385962413498383","0.3966587602104758","0.9938694652514578","0.9941323157792861","0.711292235232746","0.6936660826832138"
