"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","base_score","booster","callbacks","colsample_bylevel","colsample_bynode","colsample_bytree","device","early_stopping_rounds","enable_categorical","eval_metric","feature_types","feature_weights","gamma","grow_policy","importance_type","interaction_constraints","learning_rate","max_bin","max_cat_threshold","max_cat_to_onehot","max_delta_step","max_depth","max_leaves","min_child_weight","missing","monotone_constraints","multi_strategy","n_estimators","n_jobs","num_parallel_tree","objective","optimization","random_state","reg_alpha","reg_lambda","sampling_method","scale_pos_weight","subsample","tree_method","validate_parameters","verbosity","accuracy_test","accuracy_train","f1_test","f1_train","fit_time","recall_test","recall_train"
"2026-05-23 14:09:41","10.7s","be05a41e718346dba15f3cf47c2a2284","XGB_Optuna","NOTEBOOK","XGBoost.ipynb","Tiago Silva","FINISHED","","","","","","","","","","","","","","","","","0.08097863758509141","","","","","3","","","","","","79","","","","optuna","","","","","","","","","","0.9199","0.9213875","0.9284757567639967","0.9298939882060486","10.24181604385376","0.8665","0.8689737072378015"
"2026-05-23 14:09:37","4.2s","70fc20a217904fd1bdd0cb64d9c09bfe","XGB_GridSearch","NOTEBOOK","XGBoost.ipynb","Tiago Silva","FINISHED","","","","","","","","","","","","","","","","","0.05","","","","","3","","","","","","50","","","","GridSearchCV","","","","","","","","","","0.9199","0.9213875","0.9284757567639967","0.9298939882060486","3.977708578109741","0.8665","0.8689737072378015"
"2026-05-23 14:09:36","0.6s","34e47af5a3be4a318d366b26f684ff57","XGB_Baseline_Defaults","NOTEBOOK","XGBoost.ipynb","Tiago Silva","FINISHED","None","None","None","None","None","None","None","None","False","logloss","None","None","None","None","None","None","None","None","None","None","None","None","None","None","nan","None","None","None","None","None","binary:logistic","none_default","42","None","None","None","None","None","None","None","None","0.91755","0.9324625","0.9266034628566342","0.9403701619044466","0.45221829414367676","0.8674166666666666","0.8875994833118046"
