"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","algorithm","estimator","learning_rate","n_estimators","optimization","random_state","accuracy_test","accuracy_train","f1_test","f1_train","fit_time","recall_test","recall_train"
"2026-05-20 23:02:30","4.8min","69eb2ae78b054bdd907e16163e61128d","AdaBoost_Optuna","NOTEBOOK","AdaBoost.ipynb","Tiago Silva","FINISHED","","","0.7612632593736106","278","optuna","","0.9199","0.9213875","0.9284757567639967","0.9298939882060486","247.2959668636322","0.8665","0.8689737072378015"
"2026-05-20 23:01:23","1.1min","b97f4a143e0c4f51969ed872b8f6d27e","AdaBoost_GridSearch","NOTEBOOK","AdaBoost.ipynb","Tiago Silva","FINISHED","","","1.0","50","GridSearchCV","","0.9199","0.9213875","0.9284757567639967","0.9298939882060486","67.06419539451599","0.8665","0.8689737072378015"
"2026-05-20 23:01:15","7.4s","5ccf1c13100c41538e47eea68454f0dc","AdaBoost_Baseline","NOTEBOOK","AdaBoost.ipynb","Tiago Silva","FINISHED","deprecated","None","1.0","50","none_default","42","0.9199","0.9213875","0.9284757567639967","0.9298939882060486","6.677826642990112","0.8665","0.8689737072378015"
