"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","ccp_alpha","criterion","max_depth","max_features","max_leaf_nodes","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","monotonic_cst","optimization","random_state","splitter","fit_time","mae_test","mae_train","r2_test","r2_train","rmse_test","rmse_train"
"2026-05-22 13:10:25","47.8s","dab928c461ff4bcdbaefb79999bbb1f0","DTR_Optuna","NOTEBOOK","DT.ipynb","Tiago Silva","FINISHED","","friedman_mse","22","","","","9","23","","","optuna","","","46.195531129837036","1.1624011733571296","0.7479232593552497","0.973647912349758","0.9886196290840255","1.4747092412244804","0.9660404279732817"
"2026-05-22 13:09:35","50.8s","1aa99bca725d4137a33b08b76a2fad32","DTR_GridSearch","NOTEBOOK","DT.ipynb","Tiago Silva","FINISHED","","squared_error","20","","","","10","10","","","GridSearchCV","","","50.67748498916626","1.1578388388560827","0.7311397144641134","0.973804696199655","0.9891145932872426","1.4703157464145675","0.9447989963309732"
"2026-05-22 13:09:32","2.7s","70ed86ad47cc42bc842552a8d91eb8eb","DTR_Baseline","NOTEBOOK","DT.ipynb","Tiago Silva","FINISHED","0.0","squared_error","None","None","None","0.0","1","2","0.0","None","none_default","42","best","2.5372278690338135","1.259725","2.2148949341271874e-17","0.9685569422340343","1","1.6108729000141508","3.100207098563982e-16"
